,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
37892,34,blue-collar,married,secondary,no,332,no,no,cellular,14,may,134,2,-1,0,,no
10842,57,housemaid,married,primary,no,1870,no,no,,17,jun,129,1,-1,0,,no
42320,30,admin.,married,tertiary,no,42,yes,yes,cellular,16,nov,75,1,-1,0,,no
11411,44,management,married,secondary,no,11972,no,no,,19,jun,127,1,-1,0,,no
25872,55,management,married,tertiary,no,540,no,no,cellular,19,nov,124,2,-1,0,,no
40635,21,student,single,secondary,no,216,no,no,cellular,5,aug,414,1,-1,0,,yes
16626,47,housemaid,married,primary,no,0,yes,no,telephone,24,jul,193,1,-1,0,,no
38593,56,technician,single,secondary,no,751,yes,no,cellular,15,may,43,8,177,5,failure,no
25397,32,blue-collar,single,secondary,no,3845,yes,no,cellular,18,nov,459,3,-1,0,,no
18962,38,services,married,tertiary,no,658,no,no,cellular,4,aug,328,2,-1,0,,no
29399,42,blue-collar,married,primary,no,718,no,no,cellular,2,feb,556,2,-1,0,,no
12649,37,self-employed,divorced,tertiary,no,60,no,yes,,4,jul,426,3,-1,0,,no
10589,52,technician,divorced,tertiary,no,728,no,no,,16,jun,644,1,-1,0,,no
44444,56,management,divorced,tertiary,no,2037,no,no,cellular,5,aug,318,1,91,6,failure,yes
1878,56,blue-collar,married,primary,no,420,yes,no,,9,may,76,1,-1,0,,no
28316,45,blue-collar,married,primary,no,789,no,yes,cellular,29,jan,79,1,-1,0,,no
926,35,services,married,secondary,no,39,no,no,,7,may,143,1,-1,0,,no
30700,41,blue-collar,married,primary,no,0,yes,no,cellular,6,feb,620,4,200,4,success,no
17716,48,services,married,secondary,no,3726,yes,no,cellular,29,jul,369,2,-1,0,,no
32484,34,admin.,married,secondary,no,79,yes,no,cellular,17,apr,193,1,329,1,failure,no
24891,31,technician,single,secondary,no,1062,no,no,cellular,18,nov,835,1,-1,0,,no
39745,30,management,single,tertiary,no,1269,no,no,cellular,28,may,361,2,-1,0,,no
34695,43,management,married,tertiary,no,176,yes,no,cellular,5,may,253,2,286,1,failure,no
15105,42,technician,married,secondary,no,782,yes,no,cellular,17,jul,536,2,-1,0,,no
6382,23,blue-collar,single,secondary,no,13,yes,yes,,27,may,280,3,-1,0,,no
27403,35,technician,single,tertiary,no,817,yes,no,cellular,21,nov,12,5,-1,0,,no
8065,33,services,married,secondary,no,847,yes,no,,2,jun,127,1,-1,0,,no
27286,37,management,married,tertiary,no,11391,yes,no,cellular,21,nov,103,1,-1,0,,no
34423,46,blue-collar,married,secondary,no,524,yes,no,telephone,5,may,15,7,-1,0,,no
14775,52,services,married,secondary,no,-888,no,no,cellular,16,jul,135,1,-1,0,,no
22231,47,management,single,tertiary,no,440,no,no,cellular,21,aug,71,4,-1,0,,no
41098,27,admin.,single,secondary,no,1123,no,no,cellular,17,aug,75,1,-1,0,,no
19574,50,services,married,secondary,no,5569,no,no,cellular,7,aug,103,4,-1,0,,no
10565,35,blue-collar,single,,no,422,no,no,,16,jun,140,1,-1,0,,no
912,47,management,divorced,tertiary,no,34,yes,no,,7,may,104,1,-1,0,,no
14580,46,services,married,secondary,no,311,yes,yes,cellular,15,jul,232,3,-1,0,,no
42,60,blue-collar,married,,no,104,yes,no,,5,may,22,1,-1,0,,no
29616,44,admin.,married,secondary,no,497,yes,no,cellular,3,feb,321,3,270,2,other,no
27226,35,management,married,tertiary,yes,32,yes,no,cellular,21,nov,180,1,-1,0,,no
44670,27,student,single,tertiary,no,5169,yes,no,cellular,3,sep,431,1,466,3,success,yes
19046,46,management,divorced,tertiary,no,3,yes,yes,cellular,5,aug,328,1,-1,0,,no
34428,47,management,single,secondary,no,-246,yes,no,cellular,5,may,145,1,365,2,failure,no
10268,40,blue-collar,divorced,secondary,no,181,no,no,,12,jun,89,6,-1,0,,no
23540,46,technician,married,secondary,no,0,no,no,cellular,28,aug,63,2,-1,0,,no
44463,27,technician,single,tertiary,no,401,no,no,cellular,6,aug,218,3,93,2,success,yes
3645,39,self-employed,married,tertiary,no,-176,yes,no,,15,may,156,13,-1,0,,no
15230,29,technician,married,tertiary,no,1413,yes,no,cellular,17,jul,170,4,-1,0,,no
5394,46,admin.,single,,yes,0,no,no,,23,may,378,2,-1,0,,no
10200,42,self-employed,married,tertiary,no,2821,no,no,,11,jun,203,2,-1,0,,no
26512,42,services,married,secondary,no,6754,no,yes,cellular,20,nov,81,2,-1,0,,no
4467,35,management,married,tertiary,no,440,yes,no,,20,may,110,1,-1,0,,no
11183,49,management,married,,no,1401,no,no,,18,jun,300,1,-1,0,,no
19908,32,management,single,tertiary,no,28,no,no,cellular,8,aug,111,2,-1,0,,no
35987,41,blue-collar,married,secondary,no,211,yes,no,telephone,8,may,546,3,368,4,failure,no
33043,38,admin.,married,secondary,no,0,yes,yes,cellular,17,apr,547,2,-1,0,,yes
7462,32,blue-collar,married,secondary,no,298,yes,no,,29,may,142,7,-1,0,,no
5839,57,retired,married,tertiary,no,138,no,no,,26,may,157,5,-1,0,,no
26749,32,technician,married,tertiary,no,1352,no,no,cellular,20,nov,221,3,-1,0,,no
10303,56,admin.,married,secondary,no,1290,no,no,,12,jun,243,1,-1,0,,no
36546,60,admin.,single,secondary,no,860,yes,no,cellular,12,may,318,1,-1,0,,no
2726,25,technician,single,tertiary,no,640,yes,no,,13,may,492,2,-1,0,,no
21286,48,unemployed,married,secondary,no,0,no,no,cellular,18,aug,195,3,-1,0,,no
15889,43,technician,married,secondary,no,307,no,no,cellular,21,jul,145,2,-1,0,,no
12602,34,technician,married,secondary,no,173,no,no,,4,jul,31,1,-1,0,,no
41973,44,management,divorced,tertiary,no,36,no,no,cellular,26,oct,127,2,153,3,failure,no
14904,33,housemaid,single,primary,no,39,yes,no,cellular,16,jul,332,3,-1,0,,no
35211,43,admin.,married,secondary,no,24,yes,no,cellular,7,may,183,4,357,2,other,no
2343,26,technician,single,secondary,no,24299,yes,no,,13,may,704,1,-1,0,,no
38258,30,technician,single,secondary,no,592,yes,no,cellular,15,may,353,1,-1,0,,no
36956,39,admin.,married,secondary,no,0,no,no,telephone,12,may,256,4,-1,0,,no
14717,50,management,married,tertiary,no,2629,yes,no,telephone,15,jul,59,4,-1,0,,no
532,42,services,single,secondary,no,518,yes,no,,6,may,198,1,-1,0,,no
16302,55,retired,married,primary,no,159,yes,yes,telephone,23,jul,184,1,-1,0,,no
21601,32,technician,married,secondary,no,4133,no,no,cellular,19,aug,175,6,-1,0,,no
36874,43,technician,married,secondary,no,422,yes,no,cellular,12,may,181,2,300,1,failure,no
10003,38,admin.,married,secondary,no,272,yes,yes,,9,jun,174,2,-1,0,,no
15902,30,blue-collar,married,primary,no,1,yes,yes,telephone,22,jul,80,2,-1,0,,no
26953,54,services,divorced,secondary,no,43,no,yes,cellular,21,nov,289,1,-1,0,,no
39087,23,blue-collar,single,,no,817,yes,no,cellular,18,may,123,1,-1,0,,no
7339,36,technician,married,primary,no,4585,yes,no,,29,may,311,3,-1,0,,no
40378,27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,,no
26074,33,admin.,single,secondary,no,0,yes,no,cellular,19,nov,85,2,-1,0,,no
41328,34,technician,single,tertiary,no,612,no,no,cellular,28,aug,81,1,95,1,failure,no
8155,39,management,married,tertiary,no,0,yes,no,,2,jun,46,2,-1,0,,no
12984,27,management,single,tertiary,no,1117,yes,no,cellular,7,jul,416,4,-1,0,,no
21155,57,blue-collar,married,secondary,no,4597,yes,no,cellular,14,aug,170,4,-1,0,,no
1932,30,technician,single,tertiary,no,255,yes,no,,9,may,119,2,-1,0,,no
5341,34,housemaid,single,secondary,no,1408,yes,no,,23,may,245,1,-1,0,,no
43878,38,admin.,married,secondary,no,0,yes,no,cellular,8,jun,187,1,181,2,success,yes
15535,47,technician,married,tertiary,no,150,yes,no,cellular,21,jul,212,7,-1,0,,no
23998,49,technician,single,secondary,no,114,no,no,cellular,29,aug,12,6,-1,0,,no
4891,59,retired,married,primary,no,41,yes,yes,,21,may,717,3,-1,0,,no
5960,32,technician,married,secondary,no,782,yes,no,,26,may,116,4,-1,0,,no
38476,39,blue-collar,married,primary,no,315,yes,no,cellular,15,may,259,3,353,3,failure,no
4552,39,admin.,divorced,secondary,no,-607,yes,no,,20,may,374,2,-1,0,,no
33929,42,technician,married,,no,1559,no,no,cellular,30,apr,368,1,-1,0,,yes
29535,52,entrepreneur,divorced,tertiary,no,199,yes,yes,cellular,3,feb,373,1,236,2,failure,no
24641,48,management,married,secondary,no,-1157,no,yes,cellular,17,nov,125,2,-1,0,,no
15949,37,technician,single,secondary,no,-59,yes,no,cellular,22,jul,70,1,-1,0,,no
18279,59,blue-collar,divorced,primary,no,4399,yes,no,telephone,31,jul,69,8,-1,0,,no
24520,44,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,58,1,195,2,failure,no
3239,41,self-employed,married,secondary,no,149,yes,no,,15,may,27,1,-1,0,,no
8569,36,blue-collar,married,secondary,no,-100,yes,no,,3,jun,369,2,-1,0,,no
30622,35,services,married,secondary,no,868,no,no,cellular,6,feb,36,1,-1,0,,no
31627,38,technician,married,tertiary,no,1997,yes,no,cellular,6,apr,90,10,-1,0,,no
36556,37,technician,married,secondary,no,1109,yes,no,cellular,12,may,62,1,354,5,failure,no
37671,34,blue-collar,married,secondary,no,2436,yes,no,cellular,14,may,8,7,-1,0,,no
5117,46,blue-collar,single,secondary,no,0,no,no,,21,may,27,10,-1,0,,no
7655,51,management,divorced,tertiary,no,986,no,no,,30,may,143,2,-1,0,,no
5195,38,blue-collar,married,secondary,no,776,yes,no,,21,may,135,2,-1,0,,no
17712,57,retired,married,tertiary,no,53,no,no,telephone,29,jul,539,2,-1,0,,no
43120,54,technician,married,secondary,no,65,no,no,cellular,24,feb,87,1,91,3,failure,no
42585,61,management,married,secondary,no,544,no,no,cellular,29,dec,63,3,200,9,success,yes
8451,45,retired,married,primary,no,0,no,no,,3,jun,290,1,-1,0,,no
12238,57,retired,married,secondary,no,573,no,no,,20,jun,53,11,-1,0,,no
2749,38,management,divorced,tertiary,no,547,yes,no,,14,may,137,4,-1,0,,no
30647,33,management,single,tertiary,no,417,yes,no,cellular,6,feb,83,1,-1,0,,no
14991,59,management,married,primary,no,120,no,yes,cellular,17,jul,102,2,-1,0,,no
17443,33,blue-collar,married,secondary,no,0,yes,yes,cellular,28,jul,83,12,-1,0,,no
18494,41,management,married,secondary,no,0,no,no,cellular,31,jul,83,2,-1,0,,no
6336,34,admin.,married,secondary,no,-549,yes,yes,,27,may,405,1,-1,0,,no
33949,34,admin.,single,secondary,no,-32,no,yes,cellular,30,apr,246,2,-1,0,,yes
22322,50,services,married,primary,no,-158,no,no,cellular,22,aug,203,4,-1,0,,no
3458,34,technician,married,secondary,no,4,yes,no,,15,may,644,1,-1,0,,no
13272,56,blue-collar,single,secondary,no,663,no,yes,cellular,8,jul,819,3,-1,0,,yes
30005,34,services,married,secondary,no,244,no,no,cellular,4,feb,696,2,-1,0,,no
26727,30,management,married,secondary,no,3817,yes,no,cellular,20,nov,104,5,-1,0,,no
1051,41,blue-collar,married,secondary,no,-15,yes,no,,7,may,169,2,-1,0,,no
5319,42,services,married,primary,no,2557,yes,no,,23,may,28,3,-1,0,,no
22966,33,technician,single,secondary,no,659,no,no,cellular,26,aug,274,2,-1,0,,no
37593,36,services,married,secondary,no,3988,yes,yes,cellular,14,may,141,1,-1,0,,no
16990,36,entrepreneur,married,secondary,no,1412,yes,yes,cellular,25,jul,226,1,-1,0,,no
23509,41,technician,married,secondary,no,801,no,no,cellular,28,aug,65,4,-1,0,,no
18399,55,blue-collar,married,primary,no,842,no,no,telephone,31,jul,144,2,-1,0,,no
23754,35,management,married,tertiary,no,1684,yes,no,cellular,28,aug,39,8,-1,0,,no
39977,36,unemployed,married,tertiary,no,7222,yes,no,cellular,3,jun,86,1,-1,0,,no
23988,31,technician,single,secondary,no,0,no,no,cellular,29,aug,157,2,-1,0,,no
40264,59,technician,married,secondary,no,259,no,no,cellular,15,jun,415,1,89,1,success,yes
37712,29,management,single,tertiary,no,21,yes,no,cellular,14,may,107,4,371,3,failure,no
12302,42,technician,single,secondary,no,-15,no,no,,25,jun,71,1,-1,0,,no
35135,48,blue-collar,married,primary,no,-254,yes,no,cellular,7,may,210,2,346,1,other,no
13656,56,management,married,tertiary,no,318,no,yes,telephone,9,jul,246,3,-1,0,,no
2766,31,blue-collar,married,primary,no,591,yes,no,,14,may,287,3,-1,0,,no
11679,41,management,married,secondary,no,1273,no,no,,20,jun,73,3,-1,0,,no
14304,44,blue-collar,married,secondary,no,476,no,no,cellular,14,jul,173,6,-1,0,,no
6241,28,student,single,secondary,no,4793,no,no,,27,may,151,1,-1,0,,no
16251,50,technician,married,secondary,no,3263,yes,no,cellular,23,jul,115,1,-1,0,,no
3057,30,management,married,tertiary,no,233,yes,no,,14,may,382,10,-1,0,,no
7241,48,blue-collar,married,secondary,no,5241,yes,no,,29,may,158,1,-1,0,,no
13095,45,technician,divorced,secondary,no,12389,no,yes,cellular,8,jul,711,1,-1,0,,no
19087,30,management,single,tertiary,no,1041,no,no,cellular,5,aug,68,1,-1,0,,no
11495,39,housemaid,married,tertiary,no,4,yes,yes,,19,jun,185,1,-1,0,,no
8607,43,blue-collar,married,primary,no,0,yes,no,,3,jun,215,3,-1,0,,no
23329,37,technician,divorced,tertiary,no,39,no,no,cellular,27,aug,74,3,-1,0,,no
41926,51,technician,married,secondary,no,371,yes,yes,cellular,21,oct,287,1,-1,0,,yes
9206,24,admin.,married,secondary,no,541,yes,no,,5,jun,622,4,-1,0,,no
35412,45,admin.,single,secondary,no,-101,yes,no,cellular,7,may,101,1,301,1,failure,no
11766,43,blue-collar,divorced,,yes,1,no,no,,20,jun,188,1,-1,0,,no
35482,42,blue-collar,divorced,primary,yes,78,yes,no,cellular,7,may,227,2,-1,0,,no
33053,58,retired,married,primary,no,1351,yes,no,telephone,17,apr,392,3,-1,0,,no
42551,48,self-employed,married,secondary,no,1559,no,no,cellular,24,dec,520,3,133,3,failure,no
23887,45,technician,married,secondary,no,88,no,no,cellular,29,aug,150,2,-1,0,,no
8012,39,blue-collar,single,secondary,no,4143,yes,yes,,2,jun,21,1,-1,0,,no
23420,48,management,married,tertiary,no,0,no,no,cellular,27,aug,203,7,-1,0,,no
39370,27,student,single,secondary,no,1925,no,no,cellular,22,may,190,1,-1,0,,no
19099,50,admin.,married,secondary,no,4855,no,no,cellular,5,aug,720,2,-1,0,,yes
45057,44,management,single,tertiary,no,1090,no,no,cellular,20,oct,178,4,93,6,success,yes
27877,45,management,married,secondary,no,0,yes,yes,cellular,28,jan,625,1,-1,0,,no
34797,43,blue-collar,married,secondary,no,388,yes,yes,cellular,6,may,644,1,355,2,failure,no
22128,46,services,married,secondary,no,244,no,no,cellular,21,aug,139,2,-1,0,,no
25410,35,technician,married,secondary,no,2019,yes,yes,cellular,18,nov,83,2,144,1,failure,no
20846,40,management,divorced,tertiary,no,862,yes,no,cellular,13,aug,98,2,-1,0,,no
25190,42,entrepreneur,married,tertiary,no,337,yes,yes,cellular,18,nov,63,3,-1,0,,no
42343,61,admin.,divorced,tertiary,no,89,no,no,cellular,24,nov,141,2,95,2,other,no
14594,42,admin.,married,secondary,no,-1386,yes,yes,cellular,15,jul,56,4,-1,0,,no
22959,56,housemaid,married,primary,no,0,no,no,cellular,26,aug,102,2,-1,0,,no
35906,30,services,single,secondary,no,268,yes,no,cellular,8,may,226,5,-1,0,,no
23927,45,blue-collar,married,primary,no,121,no,no,cellular,29,aug,93,11,-1,0,,no
41867,70,retired,married,secondary,no,3175,no,no,cellular,19,oct,115,2,-1,0,,no
1354,42,blue-collar,divorced,secondary,no,47,yes,yes,,8,may,141,1,-1,0,,no
41788,36,admin.,divorced,secondary,no,592,no,no,cellular,13,oct,204,2,99,5,failure,yes
24553,50,management,married,tertiary,no,4,no,no,cellular,17,nov,223,1,96,2,failure,no
23815,30,technician,married,secondary,no,32,no,no,cellular,29,aug,73,2,-1,0,,no
12418,42,blue-collar,divorced,primary,no,145,no,yes,,30,jun,27,3,-1,0,,no
40033,43,blue-collar,married,primary,no,3917,no,no,cellular,3,jun,725,2,93,1,success,yes
17313,43,housemaid,married,secondary,no,150,no,no,telephone,28,jul,290,7,-1,0,,no
37426,42,services,single,tertiary,no,94,yes,no,cellular,13,may,45,4,-1,0,,no
43252,35,technician,married,secondary,no,294,yes,no,cellular,9,mar,301,1,90,4,success,yes
8942,39,blue-collar,single,primary,no,1790,yes,no,,4,jun,229,6,-1,0,,no
17597,47,services,single,secondary,no,917,no,no,cellular,29,jul,293,2,-1,0,,no
26458,33,technician,married,secondary,no,1434,yes,no,cellular,20,nov,200,1,-1,0,,no
18034,56,retired,divorced,secondary,no,1005,no,yes,cellular,30,jul,69,4,-1,0,,no
30212,39,technician,married,secondary,no,994,no,no,cellular,5,feb,221,1,241,1,failure,no
22449,55,blue-collar,married,primary,no,396,no,no,cellular,22,aug,74,2,-1,0,,no
24054,48,student,single,,no,1279,no,no,telephone,20,oct,2429,1,-1,0,,no
44058,19,student,single,secondary,no,526,no,no,cellular,1,jul,174,1,199,3,failure,no
13551,50,management,married,secondary,no,1457,no,yes,cellular,9,jul,167,1,-1,0,,no
22996,36,technician,single,tertiary,no,4644,no,no,cellular,26,aug,29,12,-1,0,,no
20923,47,blue-collar,married,secondary,no,1021,no,no,cellular,13,aug,399,3,-1,0,,no
7246,48,blue-collar,married,,no,100,yes,no,,29,may,206,1,-1,0,,no
40270,47,management,single,tertiary,no,372,no,no,cellular,15,jun,257,1,-1,0,,yes
613,53,blue-collar,married,secondary,no,3397,yes,no,,6,may,231,1,-1,0,,no
20742,33,technician,married,secondary,no,390,no,no,cellular,13,aug,460,2,-1,0,,no
41906,65,retired,married,secondary,no,571,yes,no,cellular,20,oct,349,1,183,2,success,yes
14204,35,technician,married,secondary,no,483,yes,no,cellular,11,jul,165,2,-1,0,,no
5421,46,management,married,tertiary,no,-267,no,no,,23,may,249,3,-1,0,,no
23736,59,retired,married,primary,no,1425,yes,no,cellular,28,aug,299,3,-1,0,,no
22775,45,admin.,married,secondary,no,356,no,no,cellular,25,aug,42,6,-1,0,,no
15037,51,technician,married,secondary,no,563,yes,no,cellular,17,jul,117,3,-1,0,,no
44378,24,student,single,secondary,no,867,no,no,cellular,2,aug,135,7,108,8,other,no
20336,52,admin.,married,secondary,no,7742,no,no,cellular,11,aug,149,3,-1,0,,no
182,35,services,married,secondary,no,59,yes,no,,5,may,1077,1,-1,0,,no
35148,29,services,divorced,secondary,no,92,yes,no,cellular,7,may,240,1,-1,0,,no
22415,43,technician,married,secondary,no,328,no,no,cellular,22,aug,79,2,-1,0,,no
23834,47,self-employed,married,secondary,no,0,no,no,cellular,29,aug,90,6,-1,0,,no
18896,30,management,single,tertiary,no,835,yes,no,cellular,4,aug,81,1,-1,0,,no
6266,44,admin.,divorced,secondary,no,-88,yes,no,,27,may,600,2,-1,0,,no
14423,44,admin.,divorced,secondary,no,163,yes,no,cellular,14,jul,1669,2,-1,0,,yes
38392,39,entrepreneur,married,secondary,no,2139,yes,no,cellular,15,may,576,4,371,1,failure,yes
34462,24,admin.,single,secondary,no,-386,yes,no,cellular,5,may,180,1,-1,0,,no
454,34,blue-collar,married,secondary,no,270,yes,yes,,6,may,159,1,-1,0,,no
37230,37,management,married,tertiary,no,1852,no,no,cellular,13,may,117,2,370,1,failure,no
37135,32,technician,married,secondary,no,-684,yes,no,cellular,13,may,11,8,299,3,other,no
2192,26,technician,married,tertiary,no,450,yes,yes,,12,may,1266,1,-1,0,,no
7619,54,management,divorced,tertiary,no,129,yes,no,,30,may,132,1,-1,0,,no
42332,55,technician,divorced,tertiary,no,0,no,no,cellular,17,nov,134,2,91,1,success,yes
3108,43,blue-collar,married,primary,no,-101,yes,no,,14,may,122,4,-1,0,,no
17128,40,management,divorced,tertiary,no,96,yes,no,cellular,25,jul,188,14,-1,0,,no
6325,26,admin.,married,secondary,no,0,no,no,,27,may,755,1,-1,0,,no
43709,32,student,single,,no,376,no,no,cellular,13,may,457,2,178,3,failure,no
1761,31,technician,married,secondary,no,1868,yes,no,,9,may,213,2,-1,0,,no
7294,36,blue-collar,married,secondary,no,959,yes,no,,29,may,200,4,-1,0,,no
35321,41,management,married,tertiary,no,1072,yes,no,cellular,7,may,199,1,-1,0,,no
44738,80,retired,married,secondary,no,8304,no,no,telephone,8,sep,606,3,91,13,success,yes
30134,38,technician,married,tertiary,no,1042,yes,no,cellular,4,feb,419,2,-1,0,,no
8949,36,unemployed,single,secondary,no,244,yes,no,,4,jun,702,2,-1,0,,no
13778,40,self-employed,married,primary,no,624,no,no,cellular,10,jul,228,1,-1,0,,no
29473,32,blue-collar,married,primary,no,329,yes,no,cellular,3,feb,321,1,-1,0,,no
25284,36,self-employed,single,tertiary,no,3560,no,no,cellular,18,nov,658,3,169,2,failure,no
791,44,blue-collar,married,primary,no,503,yes,no,,7,may,629,2,-1,0,,no
11339,42,services,married,secondary,no,3236,no,no,,18,jun,521,11,-1,0,,no
33907,21,student,single,secondary,no,224,no,no,cellular,30,apr,871,1,-1,0,,yes
14194,32,services,single,secondary,no,0,no,yes,cellular,11,jul,333,2,-1,0,,no
32474,33,blue-collar,married,secondary,no,7048,yes,no,cellular,17,apr,71,2,-1,0,,no
26816,34,services,married,secondary,no,1611,no,yes,telephone,20,nov,197,7,-1,0,,no
34185,29,student,single,secondary,no,1854,no,no,telephone,4,may,390,3,-1,0,,no
27000,39,management,divorced,tertiary,no,1968,no,no,cellular,21,nov,648,1,-1,0,,yes
33035,35,entrepreneur,single,tertiary,no,1295,yes,no,cellular,17,apr,952,2,73,1,failure,no
7682,36,blue-collar,married,primary,no,287,yes,no,,30,may,157,3,-1,0,,no
4422,31,services,divorced,secondary,no,1222,yes,no,,20,may,532,1,-1,0,,no
1078,56,management,married,primary,no,-24,yes,no,,7,may,305,3,-1,0,,no
8716,48,blue-collar,single,primary,no,1938,yes,no,,4,jun,407,1,-1,0,,no
11992,46,management,married,tertiary,no,5464,no,no,,20,jun,79,4,-1,0,,no
14848,36,blue-collar,married,secondary,no,324,yes,yes,cellular,16,jul,830,1,-1,0,,yes
41360,52,blue-collar,married,secondary,no,2087,yes,no,cellular,31,aug,267,1,474,1,failure,yes
9303,46,blue-collar,married,primary,no,2093,no,no,,5,jun,128,2,-1,0,,no
11806,36,self-employed,single,tertiary,no,977,no,no,,20,jun,172,2,-1,0,,no
6750,29,admin.,married,secondary,no,36,yes,no,,28,may,126,1,-1,0,,no
40871,38,admin.,single,secondary,no,245,yes,yes,cellular,12,aug,251,2,117,4,failure,no
225,48,blue-collar,married,primary,no,278,yes,no,,5,may,125,2,-1,0,,no
722,52,blue-collar,married,primary,no,58,yes,no,,6,may,213,3,-1,0,,no
39727,56,admin.,married,secondary,no,1671,no,no,cellular,28,may,158,2,-1,0,,no
22407,30,management,married,secondary,no,0,no,no,cellular,22,aug,78,2,-1,0,,no
39210,46,entrepreneur,divorced,tertiary,no,148,yes,no,cellular,18,may,61,3,350,5,other,no
2697,44,blue-collar,married,primary,no,617,yes,no,,13,may,227,2,-1,0,,no
17043,54,housemaid,married,primary,no,3304,no,yes,cellular,25,jul,90,7,-1,0,,no
14419,54,retired,divorced,primary,no,308,yes,no,cellular,14,jul,248,3,-1,0,,no
36597,32,technician,married,secondary,no,-410,yes,yes,cellular,12,may,179,3,-1,0,,no
10666,52,blue-collar,married,secondary,no,167,no,no,,16,jun,163,1,-1,0,,no
41055,58,management,divorced,tertiary,no,5701,no,no,cellular,14,aug,92,3,106,2,success,no
2611,44,technician,married,primary,no,2887,yes,no,,13,may,182,1,-1,0,,no
14195,37,management,married,tertiary,no,3841,no,no,cellular,11,jul,69,2,-1,0,,no
5107,53,blue-collar,married,secondary,no,813,yes,no,,21,may,23,16,-1,0,,no
36789,35,services,divorced,secondary,no,0,yes,yes,cellular,12,may,95,4,357,1,failure,no
35422,31,technician,single,secondary,no,1626,no,no,cellular,7,may,356,2,286,3,failure,no
36946,43,unemployed,divorced,primary,no,-70,yes,no,cellular,12,may,124,2,-1,0,,no
12864,35,entrepreneur,married,primary,yes,25,no,yes,cellular,7,jul,236,1,-1,0,,no
4481,23,services,single,secondary,no,210,yes,no,,20,may,507,1,-1,0,,no
40028,56,retired,married,primary,no,1947,no,no,cellular,3,jun,124,1,34,2,failure,no
31885,42,management,married,tertiary,no,1773,no,no,cellular,9,apr,311,1,336,1,failure,no
29754,54,admin.,single,secondary,no,15,yes,no,cellular,4,feb,93,1,-1,0,,no
26676,45,self-employed,married,tertiary,no,-497,yes,yes,cellular,20,nov,260,1,-1,0,,no
38834,24,technician,single,secondary,no,-232,yes,no,cellular,18,may,108,1,-1,0,,no
33384,31,blue-collar,married,secondary,no,631,yes,no,cellular,20,apr,211,2,152,2,failure,no
12528,58,retired,married,secondary,no,166,no,yes,,3,jul,211,1,-1,0,,no
18904,57,admin.,married,secondary,no,999,no,no,cellular,4,aug,68,1,-1,0,,no
22508,34,management,married,secondary,no,857,yes,no,cellular,22,aug,238,6,-1,0,,no
26055,59,entrepreneur,married,primary,no,0,no,no,telephone,19,nov,207,2,153,1,failure,no
1138,37,blue-collar,married,secondary,no,374,yes,no,,7,may,944,3,-1,0,,no
11424,44,management,married,tertiary,no,7177,no,no,,19,jun,89,2,-1,0,,no
8773,24,technician,single,secondary,no,2019,yes,no,,4,jun,1045,1,-1,0,,no
21801,34,management,married,tertiary,no,1339,no,no,cellular,20,aug,255,8,-1,0,,no
21999,46,blue-collar,married,secondary,no,3547,no,no,cellular,20,aug,395,6,-1,0,,no
3292,47,blue-collar,married,secondary,no,5306,yes,no,,15,may,322,1,-1,0,,no
38861,30,admin.,single,secondary,no,1450,yes,no,cellular,18,may,298,1,355,1,failure,no
38432,29,management,single,tertiary,no,1388,yes,no,cellular,15,may,157,3,-1,0,,no
20025,41,management,single,secondary,no,800,no,no,cellular,8,aug,899,2,-1,0,,no
31700,46,technician,married,secondary,no,138,yes,no,cellular,7,apr,226,2,-1,0,,no
27248,54,blue-collar,married,primary,no,4503,no,no,telephone,21,nov,168,3,-1,0,,no
12252,22,technician,single,secondary,no,4659,yes,no,,23,jun,53,4,-1,0,,no
31062,63,retired,divorced,secondary,no,859,no,no,cellular,13,feb,92,1,-1,0,,no
32090,56,services,divorced,secondary,no,6101,no,no,cellular,14,apr,422,4,-1,0,,no
40054,37,management,married,tertiary,no,108,yes,yes,cellular,4,jun,262,2,-1,0,,yes
21471,55,unemployed,married,secondary,no,549,no,no,cellular,18,aug,43,5,-1,0,,no
29747,30,management,single,tertiary,no,1028,no,no,cellular,4,feb,1294,2,-1,0,,yes
33070,26,technician,single,secondary,no,181,no,no,cellular,20,apr,158,2,-1,0,,yes
8984,43,entrepreneur,married,tertiary,yes,-250,no,no,,5,jun,104,1,-1,0,,no
25277,57,self-employed,married,secondary,no,380,no,no,cellular,18,nov,878,2,-1,0,,no
9894,37,,married,,no,1699,no,no,,9,jun,63,1,-1,0,,no
30744,49,retired,divorced,secondary,no,-268,yes,no,cellular,6,feb,42,2,206,5,failure,no
21708,32,technician,married,tertiary,no,60,no,no,cellular,19,aug,153,7,-1,0,,no
861,53,admin.,divorced,,no,236,yes,no,,7,may,354,1,-1,0,,no
27482,53,self-employed,single,secondary,no,186,no,no,cellular,21,nov,92,2,-1,0,,no
9926,42,admin.,married,secondary,no,1030,no,no,,9,jun,148,3,-1,0,,no
43340,37,technician,married,secondary,no,1458,no,no,cellular,22,mar,344,1,326,1,success,no
4496,33,admin.,married,secondary,no,2,yes,no,,20,may,201,1,-1,0,,no
42801,46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no
