,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
11745,43,management,married,,no,0,no,no,,20,jun,273,1,-1,0,
43902,30,blue-collar,single,secondary,no,799,no,no,,13,jun,674,1,-1,0,
39913,49,services,married,secondary,no,7019,yes,no,cellular,2,jun,263,1,368,3,failure
8948,41,entrepreneur,married,primary,no,759,yes,no,,4,jun,79,10,-1,0,
26324,30,services,divorced,secondary,no,341,yes,no,cellular,20,nov,478,1,-1,0,
5248,31,blue-collar,married,primary,no,206,yes,no,,23,may,1171,1,-1,0,
44850,36,management,single,tertiary,no,5958,yes,no,cellular,22,sep,155,1,184,1,success
12406,24,management,single,secondary,no,653,yes,no,,27,jun,247,3,-1,0,
20952,51,housemaid,married,primary,no,137,no,no,cellular,14,aug,169,2,-1,0,
10626,37,housemaid,married,secondary,no,285,no,no,,16,jun,401,2,-1,0,
42101,38,technician,married,tertiary,no,732,no,no,cellular,2,nov,53,2,161,1,failure
20837,33,management,married,tertiary,no,728,yes,no,cellular,13,aug,275,5,-1,0,
2268,48,technician,divorced,secondary,no,40,no,no,,12,may,300,3,-1,0,
20973,59,blue-collar,married,primary,no,3062,yes,no,cellular,14,aug,87,2,-1,0,
18529,32,blue-collar,married,secondary,no,7365,yes,no,cellular,31,jul,124,5,-1,0,
15631,37,management,married,tertiary,no,-1884,yes,no,cellular,21,jul,193,1,-1,0,
23129,31,management,single,tertiary,no,1,no,no,cellular,26,aug,107,5,-1,0,
41828,30,management,single,tertiary,no,536,no,no,cellular,15,oct,244,1,105,1,success
430,55,admin.,married,secondary,no,131,yes,no,,6,may,744,1,-1,0,
42229,31,management,single,tertiary,no,533,no,no,cellular,12,nov,90,3,93,6,success
37707,59,management,married,tertiary,no,2260,yes,no,cellular,14,may,303,1,-1,0,
14444,39,admin.,married,secondary,no,350,yes,no,telephone,14,jul,109,6,-1,0,
17228,43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,-1,0,
16122,34,blue-collar,married,primary,no,197,yes,no,cellular,22,jul,181,1,-1,0,
13751,46,technician,married,secondary,no,218,no,no,cellular,10,jul,41,1,-1,0,
17422,34,technician,single,secondary,no,2683,no,no,cellular,28,jul,73,2,-1,0,
38293,53,blue-collar,single,primary,no,210,yes,no,cellular,15,may,984,1,368,1,failure
28671,32,services,married,secondary,no,605,yes,no,cellular,30,jan,164,1,-1,0,
14831,45,technician,single,secondary,no,-55,no,no,cellular,16,jul,124,1,-1,0,
33757,27,blue-collar,single,secondary,no,3792,no,no,cellular,22,apr,279,2,-1,0,
11306,60,entrepreneur,married,primary,no,0,no,no,,18,jun,201,1,-1,0,
22313,33,technician,divorced,secondary,yes,6,no,no,cellular,22,aug,239,2,-1,0,
43203,63,retired,married,secondary,no,2896,no,no,cellular,4,mar,180,2,-1,0,
22556,59,retired,married,primary,no,0,no,no,cellular,22,aug,347,1,-1,0,
35465,27,blue-collar,single,secondary,no,4,yes,no,cellular,7,may,153,2,-1,0,
17965,49,technician,married,primary,no,1415,yes,no,cellular,30,jul,269,2,-1,0,
30624,29,blue-collar,single,primary,no,269,no,no,telephone,6,feb,40,1,-1,0,
34056,56,management,married,tertiary,no,746,no,no,cellular,30,apr,193,1,-1,0,
10647,56,admin.,single,secondary,no,-13,no,no,,16,jun,52,3,-1,0,
31788,45,blue-collar,married,primary,no,31,no,no,cellular,8,apr,393,2,310,1,other
35023,37,management,single,tertiary,no,509,yes,no,cellular,6,may,133,1,-1,0,
33577,30,management,single,tertiary,no,275,yes,no,cellular,20,apr,52,2,-1,0,
28986,42,admin.,divorced,secondary,no,814,yes,no,cellular,2,feb,326,5,-1,0,
34514,27,unemployed,single,secondary,no,268,yes,no,cellular,5,may,188,1,-1,0,
20490,31,technician,single,tertiary,no,438,yes,no,cellular,12,aug,130,2,-1,0,
12351,55,admin.,married,secondary,no,6207,yes,no,,26,jun,113,5,-1,0,
28173,46,blue-collar,married,secondary,no,521,yes,no,cellular,29,jan,246,1,226,3,failure
37761,46,housemaid,single,secondary,no,198,yes,no,cellular,14,may,93,1,350,1,other
8176,34,services,married,secondary,no,798,yes,no,,2,jun,304,2,-1,0,
12453,39,services,single,secondary,no,-106,no,no,,1,jul,60,4,-1,0,
24597,34,management,single,tertiary,no,2347,no,yes,cellular,17,nov,555,1,-1,0,
282,54,technician,married,tertiary,no,258,no,no,,5,may,310,4,-1,0,
32266,31,services,divorced,secondary,no,81,yes,no,cellular,16,apr,139,1,-1,0,
35660,41,admin.,divorced,secondary,no,639,yes,no,cellular,8,may,88,1,-1,0,
20274,46,technician,divorced,secondary,no,256,no,no,cellular,11,aug,105,2,-1,0,
39129,34,admin.,single,tertiary,no,4254,yes,no,cellular,18,may,104,3,178,1,success
12967,58,blue-collar,married,primary,no,853,no,no,cellular,7,jul,317,3,-1,0,
22120,30,technician,single,secondary,no,-123,no,yes,cellular,21,aug,120,2,-1,0,
26600,31,self-employed,single,tertiary,no,8460,no,no,cellular,20,nov,68,1,-1,0,
10401,35,admin.,single,secondary,no,163,yes,no,,12,jun,483,1,-1,0,
11579,53,services,married,secondary,no,76,yes,no,,19,jun,237,2,-1,0,
40631,30,self-employed,married,tertiary,no,2666,no,no,cellular,5,aug,475,2,93,4,success
36290,35,services,married,secondary,no,-315,yes,no,cellular,11,may,330,2,368,2,failure
32529,28,student,single,secondary,no,378,yes,no,cellular,17,apr,346,1,-1,0,
7512,54,blue-collar,married,,no,6251,yes,no,,29,may,421,3,-1,0,
7906,40,management,married,tertiary,no,211,yes,no,,30,may,137,3,-1,0,
13888,58,self-employed,married,secondary,no,9994,no,no,cellular,10,jul,400,1,-1,0,
8857,41,management,single,tertiary,no,4594,yes,no,,4,jun,393,11,-1,0,
8119,32,technician,single,tertiary,no,257,yes,no,,2,jun,183,5,-1,0,
19290,45,blue-collar,married,secondary,no,333,no,yes,cellular,6,aug,166,2,-1,0,
33602,32,technician,married,,no,429,yes,no,cellular,20,apr,31,3,153,2,other
31949,43,blue-collar,married,primary,no,2901,yes,no,cellular,13,apr,179,4,-1,0,
42431,45,technician,married,secondary,no,0,yes,no,cellular,7,dec,344,1,-1,0,
2220,37,blue-collar,married,secondary,no,454,yes,no,,12,may,115,1,-1,0,
40387,45,technician,married,secondary,no,315,yes,no,cellular,30,jun,103,1,-1,0,
413,48,admin.,married,secondary,no,182,yes,no,,6,may,180,2,-1,0,
16427,48,blue-collar,married,primary,no,329,no,yes,telephone,23,jul,85,6,-1,0,
41151,69,housemaid,married,primary,no,1080,no,no,cellular,18,aug,197,2,118,2,failure
43938,30,management,single,tertiary,no,572,no,no,cellular,17,jun,339,3,183,2,success
18489,50,blue-collar,divorced,primary,no,602,yes,no,cellular,31,jul,225,2,-1,0,
26035,39,management,single,tertiary,no,633,no,no,cellular,19,nov,105,2,133,3,failure
10594,36,blue-collar,single,primary,no,3214,yes,no,,16,jun,124,2,-1,0,
41069,72,retired,single,tertiary,no,614,no,no,cellular,14,aug,553,1,-1,0,
52,32,management,married,tertiary,no,0,yes,no,,5,may,179,1,-1,0,
9646,33,management,married,tertiary,no,806,yes,no,,6,jun,124,3,-1,0,
25722,37,technician,married,tertiary,no,1092,no,no,cellular,19,nov,292,3,-1,0,
8284,58,technician,married,secondary,no,2073,no,no,,2,jun,393,3,-1,0,
39603,50,management,married,tertiary,no,2635,no,no,cellular,26,may,303,2,-1,0,
34466,36,blue-collar,married,primary,no,378,yes,no,cellular,5,may,1240,1,-1,0,
42385,45,admin.,married,,no,2033,no,no,cellular,30,nov,123,1,186,4,failure
41241,59,unemployed,married,secondary,no,1047,no,no,cellular,21,aug,438,1,184,3,success
17778,54,housemaid,divorced,tertiary,no,9,no,yes,cellular,29,jul,136,3,-1,0,
8134,34,self-employed,married,primary,no,712,yes,no,,2,jun,326,3,-1,0,
916,40,services,single,tertiary,no,8823,yes,no,,7,may,378,1,-1,0,
41394,35,technician,single,secondary,no,183,no,no,cellular,1,sep,516,2,130,2,failure
11636,49,management,divorced,tertiary,no,1115,no,no,,19,jun,138,9,-1,0,
27118,43,management,married,tertiary,no,2100,yes,no,cellular,21,nov,105,1,-1,0,
3923,50,management,divorced,tertiary,no,318,yes,no,,16,may,788,2,-1,0,
37467,47,blue-collar,divorced,primary,no,409,yes,no,cellular,13,may,143,2,364,1,other
39011,52,admin.,single,,no,872,yes,no,telephone,18,may,82,6,335,1,other
3077,48,technician,married,secondary,no,1764,yes,no,,14,may,125,2,-1,0,
31567,56,retired,married,secondary,no,3948,no,no,cellular,3,apr,484,1,135,3,failure
32658,44,entrepreneur,married,secondary,no,887,yes,no,cellular,17,apr,519,1,14,2,failure
13391,37,admin.,single,secondary,no,1003,no,no,cellular,9,jul,259,3,-1,0,
3895,47,blue-collar,married,primary,no,242,yes,no,,16,may,214,4,-1,0,
25383,45,technician,divorced,secondary,no,-14,no,no,cellular,18,nov,39,2,127,3,failure
9365,35,management,single,secondary,no,0,no,no,,6,jun,19,1,-1,0,
965,43,admin.,married,secondary,no,71,no,no,,7,may,180,5,-1,0,
3716,31,technician,divorced,secondary,no,268,no,no,,16,may,118,2,-1,0,
37892,34,blue-collar,married,secondary,no,332,no,no,cellular,14,may,134,2,-1,0,
10842,57,housemaid,married,primary,no,1870,no,no,,17,jun,129,1,-1,0,
42320,30,admin.,married,tertiary,no,42,yes,yes,cellular,16,nov,75,1,-1,0,
11411,44,management,married,secondary,no,11972,no,no,,19,jun,127,1,-1,0,
25872,55,management,married,tertiary,no,540,no,no,cellular,19,nov,124,2,-1,0,
40635,21,student,single,secondary,no,216,no,no,cellular,5,aug,414,1,-1,0,
16626,47,housemaid,married,primary,no,0,yes,no,telephone,24,jul,193,1,-1,0,
38593,56,technician,single,secondary,no,751,yes,no,cellular,15,may,43,8,177,5,failure
25397,32,blue-collar,single,secondary,no,3845,yes,no,cellular,18,nov,459,3,-1,0,
18962,38,services,married,tertiary,no,658,no,no,cellular,4,aug,328,2,-1,0,
29399,42,blue-collar,married,primary,no,718,no,no,cellular,2,feb,556,2,-1,0,
12649,37,self-employed,divorced,tertiary,no,60,no,yes,,4,jul,426,3,-1,0,
10589,52,technician,divorced,tertiary,no,728,no,no,,16,jun,644,1,-1,0,
44444,56,management,divorced,tertiary,no,2037,no,no,cellular,5,aug,318,1,91,6,failure
1878,56,blue-collar,married,primary,no,420,yes,no,,9,may,76,1,-1,0,
28316,45,blue-collar,married,primary,no,789,no,yes,cellular,29,jan,79,1,-1,0,
926,35,services,married,secondary,no,39,no,no,,7,may,143,1,-1,0,
30700,41,blue-collar,married,primary,no,0,yes,no,cellular,6,feb,620,4,200,4,success
17716,48,services,married,secondary,no,3726,yes,no,cellular,29,jul,369,2,-1,0,
32484,34,admin.,married,secondary,no,79,yes,no,cellular,17,apr,193,1,329,1,failure
24891,31,technician,single,secondary,no,1062,no,no,cellular,18,nov,835,1,-1,0,
39745,30,management,single,tertiary,no,1269,no,no,cellular,28,may,361,2,-1,0,
34695,43,management,married,tertiary,no,176,yes,no,cellular,5,may,253,2,286,1,failure
15105,42,technician,married,secondary,no,782,yes,no,cellular,17,jul,536,2,-1,0,
6382,23,blue-collar,single,secondary,no,13,yes,yes,,27,may,280,3,-1,0,
27403,35,technician,single,tertiary,no,817,yes,no,cellular,21,nov,12,5,-1,0,
8065,33,services,married,secondary,no,847,yes,no,,2,jun,127,1,-1,0,
27286,37,management,married,tertiary,no,11391,yes,no,cellular,21,nov,103,1,-1,0,
34423,46,blue-collar,married,secondary,no,524,yes,no,telephone,5,may,15,7,-1,0,
14775,52,services,married,secondary,no,-888,no,no,cellular,16,jul,135,1,-1,0,
22231,47,management,single,tertiary,no,440,no,no,cellular,21,aug,71,4,-1,0,
41098,27,admin.,single,secondary,no,1123,no,no,cellular,17,aug,75,1,-1,0,
19574,50,services,married,secondary,no,5569,no,no,cellular,7,aug,103,4,-1,0,
10565,35,blue-collar,single,,no,422,no,no,,16,jun,140,1,-1,0,
912,47,management,divorced,tertiary,no,34,yes,no,,7,may,104,1,-1,0,
14580,46,services,married,secondary,no,311,yes,yes,cellular,15,jul,232,3,-1,0,
42,60,blue-collar,married,,no,104,yes,no,,5,may,22,1,-1,0,
29616,44,admin.,married,secondary,no,497,yes,no,cellular,3,feb,321,3,270,2,other
27226,35,management,married,tertiary,yes,32,yes,no,cellular,21,nov,180,1,-1,0,
44670,27,student,single,tertiary,no,5169,yes,no,cellular,3,sep,431,1,466,3,success
19046,46,management,divorced,tertiary,no,3,yes,yes,cellular,5,aug,328,1,-1,0,
34428,47,management,single,secondary,no,-246,yes,no,cellular,5,may,145,1,365,2,failure
10268,40,blue-collar,divorced,secondary,no,181,no,no,,12,jun,89,6,-1,0,
23540,46,technician,married,secondary,no,0,no,no,cellular,28,aug,63,2,-1,0,
44463,27,technician,single,tertiary,no,401,no,no,cellular,6,aug,218,3,93,2,success
3645,39,self-employed,married,tertiary,no,-176,yes,no,,15,may,156,13,-1,0,
15230,29,technician,married,tertiary,no,1413,yes,no,cellular,17,jul,170,4,-1,0,
5394,46,admin.,single,,yes,0,no,no,,23,may,378,2,-1,0,
10200,42,self-employed,married,tertiary,no,2821,no,no,,11,jun,203,2,-1,0,
26512,42,services,married,secondary,no,6754,no,yes,cellular,20,nov,81,2,-1,0,
4467,35,management,married,tertiary,no,440,yes,no,,20,may,110,1,-1,0,
11183,49,management,married,,no,1401,no,no,,18,jun,300,1,-1,0,
19908,32,management,single,tertiary,no,28,no,no,cellular,8,aug,111,2,-1,0,
35987,41,blue-collar,married,secondary,no,211,yes,no,telephone,8,may,546,3,368,4,failure
33043,38,admin.,married,secondary,no,0,yes,yes,cellular,17,apr,547,2,-1,0,
7462,32,blue-collar,married,secondary,no,298,yes,no,,29,may,142,7,-1,0,
5839,57,retired,married,tertiary,no,138,no,no,,26,may,157,5,-1,0,
26749,32,technician,married,tertiary,no,1352,no,no,cellular,20,nov,221,3,-1,0,
10303,56,admin.,married,secondary,no,1290,no,no,,12,jun,243,1,-1,0,
36546,60,admin.,single,secondary,no,860,yes,no,cellular,12,may,318,1,-1,0,
2726,25,technician,single,tertiary,no,640,yes,no,,13,may,492,2,-1,0,
21286,48,unemployed,married,secondary,no,0,no,no,cellular,18,aug,195,3,-1,0,
15889,43,technician,married,secondary,no,307,no,no,cellular,21,jul,145,2,-1,0,
12602,34,technician,married,secondary,no,173,no,no,,4,jul,31,1,-1,0,
41973,44,management,divorced,tertiary,no,36,no,no,cellular,26,oct,127,2,153,3,failure
14904,33,housemaid,single,primary,no,39,yes,no,cellular,16,jul,332,3,-1,0,
35211,43,admin.,married,secondary,no,24,yes,no,cellular,7,may,183,4,357,2,other
2343,26,technician,single,secondary,no,24299,yes,no,,13,may,704,1,-1,0,
38258,30,technician,single,secondary,no,592,yes,no,cellular,15,may,353,1,-1,0,
36956,39,admin.,married,secondary,no,0,no,no,telephone,12,may,256,4,-1,0,
14717,50,management,married,tertiary,no,2629,yes,no,telephone,15,jul,59,4,-1,0,
532,42,services,single,secondary,no,518,yes,no,,6,may,198,1,-1,0,
16302,55,retired,married,primary,no,159,yes,yes,telephone,23,jul,184,1,-1,0,
21601,32,technician,married,secondary,no,4133,no,no,cellular,19,aug,175,6,-1,0,
36874,43,technician,married,secondary,no,422,yes,no,cellular,12,may,181,2,300,1,failure
10003,38,admin.,married,secondary,no,272,yes,yes,,9,jun,174,2,-1,0,
15902,30,blue-collar,married,primary,no,1,yes,yes,telephone,22,jul,80,2,-1,0,
26953,54,services,divorced,secondary,no,43,no,yes,cellular,21,nov,289,1,-1,0,
39087,23,blue-collar,single,,no,817,yes,no,cellular,18,may,123,1,-1,0,
7339,36,technician,married,primary,no,4585,yes,no,,29,may,311,3,-1,0,
40378,27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,
26074,33,admin.,single,secondary,no,0,yes,no,cellular,19,nov,85,2,-1,0,
41328,34,technician,single,tertiary,no,612,no,no,cellular,28,aug,81,1,95,1,failure
8155,39,management,married,tertiary,no,0,yes,no,,2,jun,46,2,-1,0,
12984,27,management,single,tertiary,no,1117,yes,no,cellular,7,jul,416,4,-1,0,
21155,57,blue-collar,married,secondary,no,4597,yes,no,cellular,14,aug,170,4,-1,0,
1932,30,technician,single,tertiary,no,255,yes,no,,9,may,119,2,-1,0,
5341,34,housemaid,single,secondary,no,1408,yes,no,,23,may,245,1,-1,0,
43878,38,admin.,married,secondary,no,0,yes,no,cellular,8,jun,187,1,181,2,success
15535,47,technician,married,tertiary,no,150,yes,no,cellular,21,jul,212,7,-1,0,
23998,49,technician,single,secondary,no,114,no,no,cellular,29,aug,12,6,-1,0,
4891,59,retired,married,primary,no,41,yes,yes,,21,may,717,3,-1,0,
5960,32,technician,married,secondary,no,782,yes,no,,26,may,116,4,-1,0,
38476,39,blue-collar,married,primary,no,315,yes,no,cellular,15,may,259,3,353,3,failure
4552,39,admin.,divorced,secondary,no,-607,yes,no,,20,may,374,2,-1,0,
33929,42,technician,married,,no,1559,no,no,cellular,30,apr,368,1,-1,0,
29535,52,entrepreneur,divorced,tertiary,no,199,yes,yes,cellular,3,feb,373,1,236,2,failure
24641,48,management,married,secondary,no,-1157,no,yes,cellular,17,nov,125,2,-1,0,
15949,37,technician,single,secondary,no,-59,yes,no,cellular,22,jul,70,1,-1,0,
18279,59,blue-collar,divorced,primary,no,4399,yes,no,telephone,31,jul,69,8,-1,0,
24520,44,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,58,1,195,2,failure
3239,41,self-employed,married,secondary,no,149,yes,no,,15,may,27,1,-1,0,
8569,36,blue-collar,married,secondary,no,-100,yes,no,,3,jun,369,2,-1,0,
30622,35,services,married,secondary,no,868,no,no,cellular,6,feb,36,1,-1,0,
31627,38,technician,married,tertiary,no,1997,yes,no,cellular,6,apr,90,10,-1,0,
36556,37,technician,married,secondary,no,1109,yes,no,cellular,12,may,62,1,354,5,failure
37671,34,blue-collar,married,secondary,no,2436,yes,no,cellular,14,may,8,7,-1,0,
5117,46,blue-collar,single,secondary,no,0,no,no,,21,may,27,10,-1,0,
7655,51,management,divorced,tertiary,no,986,no,no,,30,may,143,2,-1,0,
5195,38,blue-collar,married,secondary,no,776,yes,no,,21,may,135,2,-1,0,
17712,57,retired,married,tertiary,no,53,no,no,telephone,29,jul,539,2,-1,0,
43120,54,technician,married,secondary,no,65,no,no,cellular,24,feb,87,1,91,3,failure
42585,61,management,married,secondary,no,544,no,no,cellular,29,dec,63,3,200,9,success
8451,45,retired,married,primary,no,0,no,no,,3,jun,290,1,-1,0,
12238,57,retired,married,secondary,no,573,no,no,,20,jun,53,11,-1,0,
2749,38,management,divorced,tertiary,no,547,yes,no,,14,may,137,4,-1,0,
30647,33,management,single,tertiary,no,417,yes,no,cellular,6,feb,83,1,-1,0,
14991,59,management,married,primary,no,120,no,yes,cellular,17,jul,102,2,-1,0,
17443,33,blue-collar,married,secondary,no,0,yes,yes,cellular,28,jul,83,12,-1,0,
18494,41,management,married,secondary,no,0,no,no,cellular,31,jul,83,2,-1,0,
6336,34,admin.,married,secondary,no,-549,yes,yes,,27,may,405,1,-1,0,
33949,34,admin.,single,secondary,no,-32,no,yes,cellular,30,apr,246,2,-1,0,
22322,50,services,married,primary,no,-158,no,no,cellular,22,aug,203,4,-1,0,
3458,34,technician,married,secondary,no,4,yes,no,,15,may,644,1,-1,0,
13272,56,blue-collar,single,secondary,no,663,no,yes,cellular,8,jul,819,3,-1,0,
30005,34,services,married,secondary,no,244,no,no,cellular,4,feb,696,2,-1,0,
26727,30,management,married,secondary,no,3817,yes,no,cellular,20,nov,104,5,-1,0,
1051,41,blue-collar,married,secondary,no,-15,yes,no,,7,may,169,2,-1,0,
5319,42,services,married,primary,no,2557,yes,no,,23,may,28,3,-1,0,
22966,33,technician,single,secondary,no,659,no,no,cellular,26,aug,274,2,-1,0,
37593,36,services,married,secondary,no,3988,yes,yes,cellular,14,may,141,1,-1,0,
16990,36,entrepreneur,married,secondary,no,1412,yes,yes,cellular,25,jul,226,1,-1,0,
23509,41,technician,married,secondary,no,801,no,no,cellular,28,aug,65,4,-1,0,
18399,55,blue-collar,married,primary,no,842,no,no,telephone,31,jul,144,2,-1,0,
23754,35,management,married,tertiary,no,1684,yes,no,cellular,28,aug,39,8,-1,0,
39977,36,unemployed,married,tertiary,no,7222,yes,no,cellular,3,jun,86,1,-1,0,
23988,31,technician,single,secondary,no,0,no,no,cellular,29,aug,157,2,-1,0,
40264,59,technician,married,secondary,no,259,no,no,cellular,15,jun,415,1,89,1,success
37712,29,management,single,tertiary,no,21,yes,no,cellular,14,may,107,4,371,3,failure
12302,42,technician,single,secondary,no,-15,no,no,,25,jun,71,1,-1,0,
35135,48,blue-collar,married,primary,no,-254,yes,no,cellular,7,may,210,2,346,1,other
13656,56,management,married,tertiary,no,318,no,yes,telephone,9,jul,246,3,-1,0,
2766,31,blue-collar,married,primary,no,591,yes,no,,14,may,287,3,-1,0,
11679,41,management,married,secondary,no,1273,no,no,,20,jun,73,3,-1,0,
14304,44,blue-collar,married,secondary,no,476,no,no,cellular,14,jul,173,6,-1,0,
6241,28,student,single,secondary,no,4793,no,no,,27,may,151,1,-1,0,
16251,50,technician,married,secondary,no,3263,yes,no,cellular,23,jul,115,1,-1,0,
3057,30,management,married,tertiary,no,233,yes,no,,14,may,382,10,-1,0,
7241,48,blue-collar,married,secondary,no,5241,yes,no,,29,may,158,1,-1,0,
13095,45,technician,divorced,secondary,no,12389,no,yes,cellular,8,jul,711,1,-1,0,
19087,30,management,single,tertiary,no,1041,no,no,cellular,5,aug,68,1,-1,0,
11495,39,housemaid,married,tertiary,no,4,yes,yes,,19,jun,185,1,-1,0,
8607,43,blue-collar,married,primary,no,0,yes,no,,3,jun,215,3,-1,0,
23329,37,technician,divorced,tertiary,no,39,no,no,cellular,27,aug,74,3,-1,0,
41926,51,technician,married,secondary,no,371,yes,yes,cellular,21,oct,287,1,-1,0,
9206,24,admin.,married,secondary,no,541,yes,no,,5,jun,622,4,-1,0,
35412,45,admin.,single,secondary,no,-101,yes,no,cellular,7,may,101,1,301,1,failure
11766,43,blue-collar,divorced,,yes,1,no,no,,20,jun,188,1,-1,0,
35482,42,blue-collar,divorced,primary,yes,78,yes,no,cellular,7,may,227,2,-1,0,
33053,58,retired,married,primary,no,1351,yes,no,telephone,17,apr,392,3,-1,0,
42551,48,self-employed,married,secondary,no,1559,no,no,cellular,24,dec,520,3,133,3,failure
23887,45,technician,married,secondary,no,88,no,no,cellular,29,aug,150,2,-1,0,
8012,39,blue-collar,single,secondary,no,4143,yes,yes,,2,jun,21,1,-1,0,
23420,48,management,married,tertiary,no,0,no,no,cellular,27,aug,203,7,-1,0,
39370,27,student,single,secondary,no,1925,no,no,cellular,22,may,190,1,-1,0,
19099,50,admin.,married,secondary,no,4855,no,no,cellular,5,aug,720,2,-1,0,
45057,44,management,single,tertiary,no,1090,no,no,cellular,20,oct,178,4,93,6,success
27877,45,management,married,secondary,no,0,yes,yes,cellular,28,jan,625,1,-1,0,
34797,43,blue-collar,married,secondary,no,388,yes,yes,cellular,6,may,644,1,355,2,failure
22128,46,services,married,secondary,no,244,no,no,cellular,21,aug,139,2,-1,0,
25410,35,technician,married,secondary,no,2019,yes,yes,cellular,18,nov,83,2,144,1,failure
20846,40,management,divorced,tertiary,no,862,yes,no,cellular,13,aug,98,2,-1,0,
25190,42,entrepreneur,married,tertiary,no,337,yes,yes,cellular,18,nov,63,3,-1,0,
42343,61,admin.,divorced,tertiary,no,89,no,no,cellular,24,nov,141,2,95,2,other
14594,42,admin.,married,secondary,no,-1386,yes,yes,cellular,15,jul,56,4,-1,0,
22959,56,housemaid,married,primary,no,0,no,no,cellular,26,aug,102,2,-1,0,
35906,30,services,single,secondary,no,268,yes,no,cellular,8,may,226,5,-1,0,
23927,45,blue-collar,married,primary,no,121,no,no,cellular,29,aug,93,11,-1,0,
41867,70,retired,married,secondary,no,3175,no,no,cellular,19,oct,115,2,-1,0,
1354,42,blue-collar,divorced,secondary,no,47,yes,yes,,8,may,141,1,-1,0,
41788,36,admin.,divorced,secondary,no,592,no,no,cellular,13,oct,204,2,99,5,failure
24553,50,management,married,tertiary,no,4,no,no,cellular,17,nov,223,1,96,2,failure
23815,30,technician,married,secondary,no,32,no,no,cellular,29,aug,73,2,-1,0,
12418,42,blue-collar,divorced,primary,no,145,no,yes,,30,jun,27,3,-1,0,
40033,43,blue-collar,married,primary,no,3917,no,no,cellular,3,jun,725,2,93,1,success
17313,43,housemaid,married,secondary,no,150,no,no,telephone,28,jul,290,7,-1,0,
37426,42,services,single,tertiary,no,94,yes,no,cellular,13,may,45,4,-1,0,
43252,35,technician,married,secondary,no,294,yes,no,cellular,9,mar,301,1,90,4,success
8942,39,blue-collar,single,primary,no,1790,yes,no,,4,jun,229,6,-1,0,
17597,47,services,single,secondary,no,917,no,no,cellular,29,jul,293,2,-1,0,
26458,33,technician,married,secondary,no,1434,yes,no,cellular,20,nov,200,1,-1,0,
18034,56,retired,divorced,secondary,no,1005,no,yes,cellular,30,jul,69,4,-1,0,
30212,39,technician,married,secondary,no,994,no,no,cellular,5,feb,221,1,241,1,failure
22449,55,blue-collar,married,primary,no,396,no,no,cellular,22,aug,74,2,-1,0,
24054,48,student,single,,no,1279,no,no,telephone,20,oct,2429,1,-1,0,
44058,19,student,single,secondary,no,526,no,no,cellular,1,jul,174,1,199,3,failure
13551,50,management,married,secondary,no,1457,no,yes,cellular,9,jul,167,1,-1,0,
22996,36,technician,single,tertiary,no,4644,no,no,cellular,26,aug,29,12,-1,0,
20923,47,blue-collar,married,secondary,no,1021,no,no,cellular,13,aug,399,3,-1,0,
7246,48,blue-collar,married,,no,100,yes,no,,29,may,206,1,-1,0,
40270,47,management,single,tertiary,no,372,no,no,cellular,15,jun,257,1,-1,0,
613,53,blue-collar,married,secondary,no,3397,yes,no,,6,may,231,1,-1,0,
20742,33,technician,married,secondary,no,390,no,no,cellular,13,aug,460,2,-1,0,
41906,65,retired,married,secondary,no,571,yes,no,cellular,20,oct,349,1,183,2,success
14204,35,technician,married,secondary,no,483,yes,no,cellular,11,jul,165,2,-1,0,
5421,46,management,married,tertiary,no,-267,no,no,,23,may,249,3,-1,0,
23736,59,retired,married,primary,no,1425,yes,no,cellular,28,aug,299,3,-1,0,
22775,45,admin.,married,secondary,no,356,no,no,cellular,25,aug,42,6,-1,0,
15037,51,technician,married,secondary,no,563,yes,no,cellular,17,jul,117,3,-1,0,
44378,24,student,single,secondary,no,867,no,no,cellular,2,aug,135,7,108,8,other
20336,52,admin.,married,secondary,no,7742,no,no,cellular,11,aug,149,3,-1,0,
182,35,services,married,secondary,no,59,yes,no,,5,may,1077,1,-1,0,
35148,29,services,divorced,secondary,no,92,yes,no,cellular,7,may,240,1,-1,0,
22415,43,technician,married,secondary,no,328,no,no,cellular,22,aug,79,2,-1,0,
23834,47,self-employed,married,secondary,no,0,no,no,cellular,29,aug,90,6,-1,0,
18896,30,management,single,tertiary,no,835,yes,no,cellular,4,aug,81,1,-1,0,
6266,44,admin.,divorced,secondary,no,-88,yes,no,,27,may,600,2,-1,0,
14423,44,admin.,divorced,secondary,no,163,yes,no,cellular,14,jul,1669,2,-1,0,
38392,39,entrepreneur,married,secondary,no,2139,yes,no,cellular,15,may,576,4,371,1,failure
34462,24,admin.,single,secondary,no,-386,yes,no,cellular,5,may,180,1,-1,0,
454,34,blue-collar,married,secondary,no,270,yes,yes,,6,may,159,1,-1,0,
37230,37,management,married,tertiary,no,1852,no,no,cellular,13,may,117,2,370,1,failure
37135,32,technician,married,secondary,no,-684,yes,no,cellular,13,may,11,8,299,3,other
2192,26,technician,married,tertiary,no,450,yes,yes,,12,may,1266,1,-1,0,
